case,subject,stage,status,landmark_keys,similarity_scale,qc_pass,upside_down,median,p90,nose_weighted_median,source_nose_anchor_distance,eye_over_mouth_norm,nose_over_mouth_norm,vertical_z,landmark_nose_distance,landmark_left_eye_distance,landmark_right_eye_distance,landmark_mouth_distance,landmark_chin_distance,landmark_penalty
001_10_dimpler,001,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",1.0712454699012526,0,0,0.20782080789076762,0.40138461663759956,0.15420523593098637,0.5782801143619914,0.3118431195563048,0.10409274742450156,0.5097490052980027,0.5076897744938131,0.3252878519357556,0.2589682504814152,0.29496294023578523,0.3121906283382746,0.37282704811099737
001_10_dimpler,001,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",1.0712454699012526,0,0,0.20181003585149285,0.39182367397010937,0.1786170174823655,0.5041750082299681,0.34407329715265017,0.12431370127075157,0.5203039121107018,0.001515992688048666,0.0015828204574123842,0.0012273012896821273,0.0011076068406922508,0.004361533375167985,0.0016410338416534367
001_11_chin_raiser,001,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",1.116341047295851,0,0,0.21536160354935052,0.4636885203627225,0.16163369859459784,0.5512894584030991,0.23009821368733585,0.08611008710201684,0.43928719011724693,0.47487224829510194,0.351331312114194,0.30662313775212235,0.26405786314389024,0.3014710577081835,0.37032878774046474
001_11_chin_raiser,001,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",1.116341047295851,0,0,0.21093085669670805,0.45160145401448437,0.17911512150565045,0.47362243110461877,0.266381260116279,0.10479187360607711,0.44336356304874125,0.0013924724185520561,0.0017574022555821409,0.0014812452132007302,0.0009196806512178174,0.0035791554175178507,0.0015914579324479955
001_12_lip_puckerer,001,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",1.1053312603093084,0,0,0.20692895964729224,0.4473988859217727,0.16747344931445599,0.5468946577022581,0.24220953912172735,0.09974099901503522,0.4501006985011674,0.48358617629476436,0.3492115983910923,0.3044991423790727,0.26543405794488567,0.3100693692968063,0.3735497124957526
001_12_lip_puckerer,001,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",1.1053312603093084,0,0,0.20322570477701907,0.4317225959971385,0.18863080204592284,0.4841471017055894,0.2936450755451578,0.12248498167925279,0.4773743188301318,0.0014754923600973026,0.001736523205729915,0.0017915532106916703,0.001003378588622473,0.004366948948176922,0.001756733758552158
001_13_lip_funneler,001,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",1.0434582093245321,0,0,0.17460653447520835,0.3914097943000147,0.16207821416439847,0.5645702937152364,0.23780789471811256,0.11103934477325524,0.43184182323274045,0.49206503193122414,0.35800552669020264,0.28947615235148483,0.20608311267042986,0.3137912425473179,0.3668600370598243
001_13_lip_funneler,001,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",1.0434582093245321,0,0,0.18778158931259356,0.3937858663194794,0.19229304815207285,0.5003680150147714,0.2690765322680663,0.1200691589242747,0.4320255658430931,0.0015351880871401768,0.0017794923301045066,0.0013802970888301801,0.0015038648393901545,0.0053072389121829,0.0018544981938269482
001_14_sadness,001,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",1.1229009738353855,0,0,0.21231262660150568,0.45537692228935167,0.15586802697578866,0.5503166806021466,0.22046021354673775,0.0922964361693779,0.42160471791838977,0.4757912036171605,0.3625846862917497,0.3036597005526186,0.2551928788157528,0.28950704243990577,0.3700566516478591
001_14_sadness,001,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",1.1229009738353855,0,0,0.20779800624585995,0.44017373994797926,0.1770872928063519,0.4858399426741969,0.2713310389496069,0.1141408886455582,0.45044927376307003,0.0014494270624631613,0.0018092093194727657,0.0017691236836166328,0.0009470484365926408,0.004171520269692865,0.0017331916236962507
001_15_lip_roll,001,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",1.0516704652359279,0,0,0.19433448039331114,0.3790439922893697,0.157215908871905,0.5811300664244333,0.31530393920269856,0.1091299865847194,0.5061139550576345,0.49769639784567477,0.3119330788392504,0.24693360929104075,0.27243406895959216,0.3264997478504477,0.3618456258033214
